GROUP,TID,UNIT,LOW,HIGH,FUNCTION,PARAM1,PARAM2,KEY,VAL,FAIL_COUNT,TIMEOUT,DESCRIPTION
Fixture Init,Station name,,,,station_name,,,,,,20000,
Fixture Init,Vendor ID,,,,vendor_id,,,,,,20000,
Fixture Init,Slot ID,,,,slot_id,,,,,,20000,
Fixture Init,Xavier FW version,,,,mix_fw_version,,,,,,20000,
Fixture Init,WolverineII_SN,,,,read_dmm_sn,,<<DMM-002>>,,,,20000,
Fixture Init,Beast_SN,,,,read_beast_sn,,<<Scope-001>>,,,,20000,
Fixture Init,Dagger_SN,,,,read_dagger_sn,,<<Scope-006>>,,,,20000,
Fixture Init,Reset fixture_1,,,,reset_board,,,,,1,20000,

Fixture Init,DELAY_2S,,,,delay,2000,,,,,20000,
Fixture Init,OQC_OPEN,,,,oqc_open,inst_34461,USB0::0x2A8D::0x0201::MY54701016::INSTR,,,,20000,

Fixture Init,Disconnect PSU_TO_PPVBUS_HMD_INPUT from POWER_SUPPLY_PATH,,,,relay_switch,POWER_SUPPLY_PATH,DISCONNECT,,,,20000,
Fixture Init,Relay to DISCHARGE_PPVBUS_HMD_INPUT,,,,relay_switch,DISCHARGE_PPVBUS_HMD_INPUT,CONNECT,,,,20000,
Fixture Init,Relay to DISCHARGE_PPVBUS_SYS,,,,relay_switch,DISCHARGE_PPVBUS_SYS,CONNECT,,,,20000,
Fixture Init,Relay to DISCHARGE_PP3V8_VCC_MAIN,,,,relay_switch,DISCHARGE_PPVCC_MAIN_3V8,CONNECT,,,,20000,
Fixture Init,Relay to DISCHARGE_PPVBUS_SPKRAMP_S2,,,,relay_switch,DISCHARGE_PPVBUS_SPKRAMP_S2,CONNECT,,,,20000,
Fixture Init,Relay to DISCHARGE_PPVBUS_SPFCAP_BOOST_ALWAYS,,,,relay_switch,DISCHARGE_PPVBUS_SPFCAP_BOOST_ALWAYS,CONNECT,,,,20000,
Fixture Init,DELAY_2S_2,,,,delay,2000,,,,,20000,
Fixture Init,Wait until PPVBUS_SPFCAP_BOOST Down,mV,,,wait_voltage_drop,PPVBUS_SPFCAP_BOOST_ALWAYS_DIV,2000,,,,20000,
Fixture Init,DELAY_1S,,,,delay,1000,,,,,20000,
Fixture Init,Disconnect to DISCHARGE_PPVBUS_HMD_INPUT,,,,relay_switch,DISCHARGE_PPVBUS_HMD_INPUT,DISCONNECT,,,,20000,
Fixture Init,Disconnect to DISCHARGE_PPVBUS_SYS,,,,relay_switch,DISCHARGE_PPVBUS_SYS,DISCONNECT,,,,20000,
Fixture Init,Disconnect to DISCHARGE_PP3V8_VCC_MAIN,,,,relay_switch,DISCHARGE_PPVCC_MAIN_3V8,DISCONNECT,,,,20000,
Fixture Init,Disconnect to DISCHARGE_PPVBUS_SPKRAMP_S2,,,,relay_switch,DISCHARGE_PPVBUS_SPKRAMP_S2,DISCONNECT,,,,20000,
Fixture Init,Disconnect to DISCHARGE_PPVBUS_SPFCAP_BOOST_ALWAYS,,,,relay_switch,DISCHARGE_PPVBUS_SPFCAP_BOOST_ALWAYS,DISCONNECT,,,,20000,

Fixture Init,OPEN_SHORT Test PPVBUS_HMD_INPUT_CONN Input PP3V3,,,,relay_switch,IO_OPEN_SHORT_HMD_PATH,IO_OPEN_SHORT_HMD_ON_H,,,,20000,
Fixture Init,OPEN_SHORT Test Relay IVOUT_OP_PPVBUS_HMD_TO_DMM,,,,relay_switch,POWER_RAIL_PATH,IVOUT_OP_PPVBUS_HMD_TO_DMM,,,,20000,
Fixture Init,OPEN_SHORT Test PPVBUS_HMD_INPUT_CONN,mV,,,measure_voltage,5V,,,,,20000,
Fixture Init,DISCONNECT PPVBUS_HMD_INPUT_CONN To PP3V3,,,,relay_switch,IO_OPEN_SHORT_HMD_PATH,DISCONNECT,,,,20000,
Fixture Init,OPEN_SHORT Test PPVBUS_SYS Input PP3V3,,,,relay_switch,IO_OPEN_SHORT_SYS_PATH,IO_OPEN_SHORT_SYS_ON_H,,,,20000,
Fixture Init,OPEN_SHORT Test Relay IVOUT_OP_PPVBUS_SYS_TO_DMM,,,,relay_switch,POWER_RAIL_PATH,IVOUT_OP_PPVBUS_SYS_TO_DMM,,,,20000,
Fixture Init,OPEN_SHORT Test PPVBUS_SYS,mV,,,measure_voltage,5V,,,,,20000,

Fixture Init,DISCONNECT PPVBUS_SYS To PP3V3,,,,relay_switch,IO_OPEN_SHORT_SYS_PATH,DISCONNECT,,,,20000,
Power Up,CONNECT_PSU_TO_PSU_TO_PPVBUS_HMD_INPUT,,,,relay_switch,POWER_SUPPLY_PATH,PSU_TO_PPVBUS_HMD_INPUT,,,,20000,
Power Up,PSU_ON_13V_5A,,,,psu_on,13000,5000,,,,20000,
Power Up,DELAY_2S_3,,,,delay,2000,,,,,200000,
Power Up,CONNECT_PSU_PPVBUS_SENSE_PATH,,,,relay_switch,PSU_PPVBUS_SENSE_PATH,CONNECT,,,,20000,
Power Up,DELAY_30,,,,delay,3000,,,,,200000,

Power Up,GPIO_PMU_TO_SYSTEM_ACTIVE_READY,,,,adg_relay_switch,GPIO_PMU_TO_SYSTEM_ACTIVE_READY,PU1V2,,,,20000,
Power Up,DUT_I2C0_BUNRATTY_PATH,,,,relay_switch,DUT_I2C0_BUNRATTY_PATH,CONNECT,,,,20000,
Fixture Init,Relay CONNECT DUT_I2C0_BUNRATTY_PATH,,,,relay_switch,DUT_I2C0_BUNRATTY_PATH,CONNECT,,,,20000,
Fixture Init,Relay GPIO_PMU_TO_SYSTEM_ACTIVE_READY to DMM,,,,adg_relay_switch,GPIO_PMU_TO_SYSTEM_ACTIVE_READY,PU1V8,,,,20000,
Fixture Init,Relay CONNECT DUT_I2C0_Calmux_relay,,,,calmux_relay_init,,,,,,20000,
Fixture Init,Relay CONNECT DUT_I2C0_Calmux_init,,,,calmux_init,,,,,,20000,

Beast Calmux,BEAST_CALMUX_RELAY,,,,calmux_switch,VOLTAGE_MEASURE_PATH,MEASURE_MOTOR_TP,,,,20000,
Motor Driver Test,BEAST_SET_ADC,,,,beast_set_adc,reset,,,,,20000,
Motor Driver Test,MOTOR1 DIGITIZER_PATH to MOTOR_S_X_L_V_P,,,,relay_switch,DIGITIZER_PATH,MOTOR_S_X_L_V_P,,,,20000,
CAL_BEAST,CAL_BEAST_GAIN,,0.99,1.01,get_cal_beast_voltage,,,,,,100000,
CAL_BEAST,read_offset CAL_BEAST,mV,-1,1,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,WRITE_TO_EEPROM,,,,write_to_file,debug,,,,,50000,

POWER_CYCLE_2,PSU_OFF,,,,psu_off,,,,,,20000,
POWER_CYCLE_2,Relay to DISCHARGE_PPVBUS_HMD_INPUT,,,,relay_switch,DISCHARGE_PPVBUS_HMD_INPUT,CONNECT,,,,20000,
POWER_CYCLE_2,Relay to DISCHARGE_PPVBUS_SYS,,,,relay_switch,DISCHARGE_PPVBUS_SYS,CONNECT,,,,20000,
POWER_CYCLE_2,Relay to DISCHARGE_PP3V8_VCC_MAIN,,,,relay_switch,DISCHARGE_PPVCC_MAIN_3V8,CONNECT,,,,20000,
POWER_CYCLE_2,Relay to DISCHARGE_PPVBUS_SPKRAMP_S2,,,,relay_switch,DISCHARGE_PPVBUS_SPKRAMP_S2,CONNECT,,,,20000,
POWER_CYCLE_2,Relay to DISCHARGE_PPVBUS_SPFCAP_BOOST_ALWAYS,,,,relay_switch,DISCHARGE_PPVBUS_SPFCAP_BOOST_ALWAYS,CONNECT,,,,20000,

POWER_CYCLE_2,DELAY_2S,,,,delay,2000,,,,,20000,

Power Down,Wait until PPVBUS_SPFCAP_BOOST Down,mV,,,wait_voltage_drop,PPVBUS_SPFCAP_BOOST_ALWAYS_DIV,2000,,,,20000,


Fixture Init,OQC_CLOSE,,,,oqc_close,inst_34461,,,,,1,
Fixture Init,Reset fixture_2,,,,reset_board,,,,,,20000,
