GROUP,TID,UNIT,LOW,HIGH,FUNCTION,PARAM1,PARAM2,KEY,VAL,FAIL_COUNT,TIMEOUT,DESCRIPTION
Fixture Init,Station name,,,,station_name,,,,,,20000,
Fixture Init,Vendor ID,,,,vendor_id,,,,,,20000,
Fixture Init,Slot ID,,,,slot_id,,,,,,20000,
Fixture Init,Xavier FW version,,,,mix_fw_version,,,,,,20000,
Fixture Init,WolverineII_SN,,,,read_dmm_sn,,<<DMM-002>>,,,,20000,
Fixture Init,Beast_SN,,,,read_beast_sn,,<<Scope-001>>,,,,20000,
Fixture Init,Dagger_SN,,,,read_dagger_sn,,<<Scope-006>>,,,,20000,
Fixture Init,Reset fixture_1,,,,reset_board,,,,,1,20000,

Fixture Init,DELAY_2S,,,,delay,2000,,,,,20000,
Fixture Init,OQC_OPEN,,,,oqc_open,inst_34461,USB0::0x2A8D::0x0201::MY54701016::INSTR,,,,20000,

Fixture Init,Disconnect PSU_TO_PPVBUS_HMD_INPUT from POWER_SUPPLY_PATH,,,,relay_switch,POWER_SUPPLY_PATH,DISCONNECT,,,,20000,
Fixture Init,Relay to DISCHARGE_PPVBUS_HMD_INPUT,,,,relay_switch,DISCHARGE_PPVBUS_HMD_INPUT,CONNECT,,,,20000,
Fixture Init,Relay to DISCHARGE_PPVBUS_SYS,,,,relay_switch,DISCHARGE_PPVBUS_SYS,CONNECT,,,,20000,
Fixture Init,Relay to DISCHARGE_PP3V8_VCC_MAIN,,,,relay_switch,DISCHARGE_PPVCC_MAIN_3V8,CONNECT,,,,20000,
Fixture Init,Relay to DISCHARGE_PPVBUS_SPKRAMP_S2,,,,relay_switch,DISCHARGE_PPVBUS_SPKRAMP_S2,CONNECT,,,,20000,
Fixture Init,Relay to DISCHARGE_PPVBUS_SPFCAP_BOOST_ALWAYS,,,,relay_switch,DISCHARGE_PPVBUS_SPFCAP_BOOST_ALWAYS,CONNECT,,,,20000,
Fixture Init,DELAY_2S_2,,,,delay,2000,,,,,20000,
Fixture Init,Wait until PPVBUS_SPFCAP_BOOST Down,mV,,,wait_voltage_drop,PPVBUS_SPFCAP_BOOST_ALWAYS_DIV,2000,,,,20000,
Fixture Init,DELAY_1S,,,,delay,1000,,,,,20000,
Fixture Init,Disconnect to DISCHARGE_PPVBUS_HMD_INPUT,,,,relay_switch,DISCHARGE_PPVBUS_HMD_INPUT,DISCONNECT,,,,20000,
Fixture Init,Disconnect to DISCHARGE_PPVBUS_SYS,,,,relay_switch,DISCHARGE_PPVBUS_SYS,DISCONNECT,,,,20000,
Fixture Init,Disconnect to DISCHARGE_PP3V8_VCC_MAIN,,,,relay_switch,DISCHARGE_PPVCC_MAIN_3V8,DISCONNECT,,,,20000,
Fixture Init,Disconnect to DISCHARGE_PPVBUS_SPKRAMP_S2,,,,relay_switch,DISCHARGE_PPVBUS_SPKRAMP_S2,DISCONNECT,,,,20000,
Fixture Init,Disconnect to DISCHARGE_PPVBUS_SPFCAP_BOOST_ALWAYS,,,,relay_switch,DISCHARGE_PPVBUS_SPFCAP_BOOST_ALWAYS,DISCONNECT,,,,20000,

Fixture Init,OPEN_SHORT Test PPVBUS_HMD_INPUT_CONN Input PP3V3,,,,relay_switch,IO_OPEN_SHORT_HMD_PATH,IO_OPEN_SHORT_HMD_ON_H,,,,20000,
Fixture Init,OPEN_SHORT Test Relay IVOUT_OP_PPVBUS_HMD_TO_DMM,,,,relay_switch,POWER_RAIL_PATH,IVOUT_OP_PPVBUS_HMD_TO_DMM,,,,20000,
Fixture Init,OPEN_SHORT Test PPVBUS_HMD_INPUT_CONN,mV,,,measure_voltage,5V,,,,,20000,
Fixture Init,DISCONNECT PPVBUS_HMD_INPUT_CONN To PP3V3,,,,relay_switch,IO_OPEN_SHORT_HMD_PATH,DISCONNECT,,,,20000,
Fixture Init,OPEN_SHORT Test PPVBUS_SYS Input PP3V3,,,,relay_switch,IO_OPEN_SHORT_SYS_PATH,IO_OPEN_SHORT_SYS_ON_H,,,,20000,
Fixture Init,OPEN_SHORT Test Relay IVOUT_OP_PPVBUS_SYS_TO_DMM,,,,relay_switch,POWER_RAIL_PATH,IVOUT_OP_PPVBUS_SYS_TO_DMM,,,,20000,
Fixture Init,OPEN_SHORT Test PPVBUS_SYS,mV,,,measure_voltage,5V,,,,,20000,

Fixture Init,DISCONNECT PPVBUS_SYS To PP3V3,,,,relay_switch,IO_OPEN_SHORT_SYS_PATH,DISCONNECT,,,,20000,

Power Up,Relay DIGITIZER_PATH to DISCONNECT_1,,,,relay_switch,DIGITIZER_PATH,DISCONNECT,,,,20000,

Power Up,CONNECT_PSU_TO_PSU_TO_PPVBUS_HMD_INPUT,,,,relay_switch,POWER_SUPPLY_PATH,PSU_TO_PPVBUS_HMD_INPUT,,,,20000,
Power Up,PSU_ON_13V_5A,,,,psu_on,13000,5000,,,,20000,
Power Up,DELAY_2S_3,,,,delay,2000,,,,,200000,
Power Up,CONNECT_PSU_PPVBUS_SENSE_PATH,,,,relay_switch,PSU_PPVBUS_SENSE_PATH,CONNECT,,,,20000,
Power Up,DELAY_30,,,,delay,3000,,,,,200000,

Fixture Init,Relay CONNECT DUT_I2C0_BUNRATTY_PATH,,,,relay_switch,DUT_I2C0_BUNRATTY_PATH,CONNECT,,,,20000,
Fixture Init,Relay GPIO_PMU_TO_SYSTEM_ACTIVE_READY to DMM,,,,adg_relay_switch,GPIO_PMU_TO_SYSTEM_ACTIVE_READY,PU1V8,,,,20000,
Fixture Init,Relay CONNECT DUT_I2C0_Calmux_relay,,,,calmux_relay_init,,,,,,20000,
Fixture Init,Relay CONNECT DUT_I2C0_Calmux_init,,,,calmux_init,,,,,,20000,


Fixture Init,Relay CONNECT DUT_I2C0_Calmux_switch_hight,,,,calmux_switch,VOLTAGE_MEASURE_PATH,MEASURE_PP_HIGHT_VOLTAGE,,,,20000,
Fixture Init,SET_VOLTAGE_PATH_hight,,,,calmux_switch,SET_VOLTAGE_PATH,PP_HIGHT_VOLTAGE_NO_UP_TO_PPVBUS,,,,20000,


CAL_POWER_RAIL_HI,Relay POWER_RAIL_PATH to PP8V0_IPD_DRV_DIV,,,,relay_switch,POWER_RAIL_PATH,PP8V0_IPD_DRV_DIV,,,,20000,
CAL_POWER_RAIL_HI,cal_voltage PP8V0_IPD_DRV_DIV,,0.99,1.02,get_cal_voltage,PP8V0_IPD_DRV_DIV,5000@16000@power_rail,,,,50000,
CAL_POWER_RAIL_HI,read_offset PP8V0_IPD_DRV_DIV,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL_HI,Relay POWER_RAIL_PATH to PPVBUS_SPFCAP_BOOST_ALWAYS_DIV,,,,relay_switch,POWER_RAIL_PATH,PPVBUS_SPFCAP_BOOST_ALWAYS_DIV,,,,20000,
CAL_POWER_RAIL_HI,cal_voltage PPVBUS_SPFCAP_BOOST_ALWAYS_DIV,,0.99,1.02,get_cal_voltage,PPVBUS_SPFCAP_BOOST_ALWAYS_DIV,5000@16000@power_rail,,,,50000,
CAL_POWER_RAIL_HI,read_offset PPVBUS_SPFCAP_BOOST_ALWAYS_DIV,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL_HI,Relay POWER_RAIL_PATH to PPVBUS_SPKRAMP_S2_DIV,,,,relay_switch,POWER_RAIL_PATH,PPVBUS_SPKRAMP_S2_DIV,,,,20000,
CAL_POWER_RAIL_HI,cal_voltage PPVBUS_SPKRAMP_S2_DIV,,0.99,1.02,get_cal_voltage,PPVBUS_SPKRAMP_S2_DIV,5000@16000@power_rail,,,,50000,
CAL_POWER_RAIL_HI,read_offset PPVBUS_SPKRAMP_S2_DIV,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL_HI,MOTO_SWITCH,,,,calmux_switch,MOTO_SWITCH,PPVCC_MOTO_ON,,,,20000,
CAL_POWER_RAIL_HI,Relay POWER_RAIL_PATH to PPVBUS_HMD_INPUT_SNS_DIV,,,,relay_switch,POWER_RAIL_PATH,PPVBUS_HMD_INPUT_SNS_DIV,,,,20000,
CAL_POWER_RAIL_HI,cal_voltage PPVBUS_HMD_INPUT_SNS_DIV,,0.99,1.02,get_cal_voltage,PPVBUS_HMD_INPUT_SNS_DIV,5000@16000@power_rail,,,,50000,
CAL_POWER_RAIL_HI,read_offset PPVBUS_HMD_INPUT_SNS_DIV,,-10,10,read_cal_offset,,,,,,50000,
CAL_POWER_RAIL_HI,DISCONNECT MOTO_SWITCH,,,,calmux_switch,MOTO_SWITCH,DISCONNECT,,,,20000,

CAL_POWER_RAIL_HI,Relay POWER_RAIL_PATH to PPVBUS_SYS_SNS_DIV,,,,relay_switch,POWER_RAIL_PATH,PPVBUS_SYS_SNS_DIV,,,,20000,
CAL_POWER_RAIL_HI,debug_read_voltage PPVBUS_SYS_SNS_DIV,,0.99,1.02,get_cal_voltage,PPVBUS_SYS_SNS_DIV,5000@16000@power_rail,,,,50000,
CAL_POWER_RAIL_HI,read_offset PPVBUS_SYS_SNS_DIV,,-10,10,read_cal_offset,,,,,,50000,
CAL_POWER_RAIL_HI,WRITE_TO_EEPROM,,,,write_to_file,EEPROM,,,,,50000,


POWER_CYCLE_2,PSU_OFF,,,,psu_off,,,,,,20000,
POWER_CYCLE_2,Relay to DISCHARGE_PPVBUS_HMD_INPUT,,,,relay_switch,DISCHARGE_PPVBUS_HMD_INPUT,CONNECT,,,,20000,
POWER_CYCLE_2,Relay to DISCHARGE_PPVBUS_SYS,,,,relay_switch,DISCHARGE_PPVBUS_SYS,CONNECT,,,,20000,
POWER_CYCLE_2,Relay to DISCHARGE_PP3V8_VCC_MAIN,,,,relay_switch,DISCHARGE_PPVCC_MAIN_3V8,CONNECT,,,,20000,
POWER_CYCLE_2,Relay to DISCHARGE_PPVBUS_SPKRAMP_S2,,,,relay_switch,DISCHARGE_PPVBUS_SPKRAMP_S2,CONNECT,,,,20000,
POWER_CYCLE_2,Relay to DISCHARGE_PPVBUS_SPFCAP_BOOST_ALWAYS,,,,relay_switch,DISCHARGE_PPVBUS_SPFCAP_BOOST_ALWAYS,CONNECT,,,,20000,

POWER_CYCLE_2,DELAY_2S,,,,delay,2000,,,,,20000,

Power Down,Wait until PPVBUS_SPFCAP_BOOST Down,mV,,,wait_voltage_drop,PPVBUS_SPFCAP_BOOST_ALWAYS_DIV,2000,,,,20000,

Fixture Init,OQC_CLOSE,,,,oqc_close,inst_34461,,,,,20000,
Fixture Init,Reset fixture_2,,,,reset_board,,,,,,20000,
