GROUP,TID,UNIT,LOW,HIGH,FUNCTION,PARAM1,PARAM2,KEY,VAL,FAIL_COUNT,TIMEOUT,DESCRIPTION
Fixture Init,Station name,,,,station_name,,,,,,20000,
Fixture Init,Vendor ID,,,,vendor_id,,,,,,20000,
Fixture Init,Slot ID,,,,slot_id,,,,,,20000,
Fixture Init,Xavier FW version,,,,mix_fw_version,,,,,,20000,
Fixture Init,WolverineII_SN,,,,read_dmm_sn,,<<DMM-002>>,,,,20000,
Fixture Init,Beast_SN,,,,read_beast_sn,,<<Scope-001>>,,,,20000,
Fixture Init,Dagger_SN,,,,read_dagger_sn,,<<Scope-006>>,,,,20000,
Fixture Init,Reset fixture_1,,,,reset_board,,,,,1,20000,

Fixture Init,DELAY_2S,,,,delay,2000,,,,,20000,
Fixture Init,OQC_OPEN,,,,oqc_open,inst_34461,USB0::0x2A8D::0x1301::MY59011732::INSTR,,,,1,


Fixture Init,Disconnect PSU_TO_PPVBUS_HMD_INPUT from POWER_SUPPLY_PATH,,,,relay_switch,POWER_SUPPLY_PATH,DISCONNECT,,,,20000,
Fixture Init,Relay to DISCHARGE_PPVBUS_HMD_INPUT,,,,relay_switch,DISCHARGE_PPVBUS_HMD_INPUT,CONNECT,,,,20000,
Fixture Init,Relay to DISCHARGE_PPVBUS_SYS,,,,relay_switch,DISCHARGE_PPVBUS_SYS,CONNECT,,,,20000,
Fixture Init,Relay to DISCHARGE_PP3V8_VCC_MAIN,,,,relay_switch,DISCHARGE_PPVCC_MAIN_3V8,CONNECT,,,,20000,
Fixture Init,Relay to DISCHARGE_PPVBUS_SPKRAMP_S2,,,,relay_switch,DISCHARGE_PPVBUS_SPKRAMP_S2,CONNECT,,,,20000,
Fixture Init,Relay to DISCHARGE_PPVBUS_SPFCAP_BOOST_ALWAYS,,,,relay_switch,DISCHARGE_PPVBUS_SPFCAP_BOOST_ALWAYS,CONNECT,,,,20000,
Fixture Init,DELAY_2S_2,,,,delay,2000,,,,,20000,
Fixture Init,Wait until PPVBUS_SPFCAP_BOOST Down,mV,,,wait_voltage_drop,PPVBUS_SPFCAP_BOOST_ALWAYS_DIV,2000,,,,20000,
Fixture Init,DELAY_1S,,,,delay,1000,,,,,20000,
Fixture Init,Disconnect to DISCHARGE_PPVBUS_HMD_INPUT,,,,relay_switch,DISCHARGE_PPVBUS_HMD_INPUT,DISCONNECT,,,,20000,
Fixture Init,Disconnect to DISCHARGE_PPVBUS_SYS,,,,relay_switch,DISCHARGE_PPVBUS_SYS,DISCONNECT,,,,20000,
Fixture Init,Disconnect to DISCHARGE_PP3V8_VCC_MAIN,,,,relay_switch,DISCHARGE_PPVCC_MAIN_3V8,DISCONNECT,,,,20000,
Fixture Init,Disconnect to DISCHARGE_PPVBUS_SPKRAMP_S2,,,,relay_switch,DISCHARGE_PPVBUS_SPKRAMP_S2,DISCONNECT,,,,20000,
Fixture Init,Disconnect to DISCHARGE_PPVBUS_SPFCAP_BOOST_ALWAYS,,,,relay_switch,DISCHARGE_PPVBUS_SPFCAP_BOOST_ALWAYS,DISCONNECT,,,,20000,

Fixture Init,OPEN_SHORT Test PPVBUS_HMD_INPUT_CONN Input PP3V3,,,,relay_switch,IO_OPEN_SHORT_HMD_PATH,IO_OPEN_SHORT_HMD_ON_H,,,,20000,
Fixture Init,OPEN_SHORT Test Relay IVOUT_OP_PPVBUS_HMD_TO_DMM,,,,relay_switch,POWER_RAIL_PATH,IVOUT_OP_PPVBUS_HMD_TO_DMM,,,,20000,
Fixture Init,OPEN_SHORT Test PPVBUS_HMD_INPUT_CONN,mV,,,measure_voltage,5V,,,,,20000,
Fixture Init,DISCONNECT PPVBUS_HMD_INPUT_CONN To PP3V3,,,,relay_switch,IO_OPEN_SHORT_HMD_PATH,DISCONNECT,,,,20000,
Fixture Init,OPEN_SHORT Test PPVBUS_SYS Input PP3V3,,,,relay_switch,IO_OPEN_SHORT_SYS_PATH,IO_OPEN_SHORT_SYS_ON_H,,,,20000,
Fixture Init,OPEN_SHORT Test Relay IVOUT_OP_PPVBUS_SYS_TO_DMM,,,,relay_switch,POWER_RAIL_PATH,IVOUT_OP_PPVBUS_SYS_TO_DMM,,,,20000,
Fixture Init,OPEN_SHORT Test PPVBUS_SYS,mV,,,measure_voltage,5V,,,,,20000,

Fixture Init,DISCONNECT PPVBUS_SYS To PP3V3,,,,relay_switch,IO_OPEN_SHORT_SYS_PATH,DISCONNECT,,,,20000,

Power Up,Relay DIGITIZER_PATH to DISCONNECT_1,,,,relay_switch,DIGITIZER_PATH,DISCONNECT,,,,20000,


Power Up,CONNECT_PSU_TO_PSU_TO_PPVBUS_HMD_INPUT,,,,relay_switch,POWER_SUPPLY_PATH,PSU_TO_PPVBUS_HMD_INPUT,,,,20000,
Power Up,PSU_ON_13V_5A,,,,psu_on,13000,5000,,,,20000,
Power Up,DELAY_2S_3,,,,delay,2000,,,,,200000,
Power Up,CONNECT_PSU_PPVBUS_SENSE_PATH,,,,relay_switch,PSU_PPVBUS_SENSE_PATH,DISCONNECT,,,,20000,
Power Up,DELAY_30,,,,delay,3000,,,,,200000,

Fixture Init,Relay CONNECT DUT_I2C0_BUNRATTY_PATH,,,,relay_switch,DUT_I2C0_BUNRATTY_PATH,CONNECT,,,,20000,
Fixture Init,Relay GPIO_PMU_TO_SYSTEM_ACTIVE_READY to DMM,,,,adg_relay_switch,GPIO_PMU_TO_SYSTEM_ACTIVE_READY,PU1V8,,,,20000,
Fixture Init,Relay CONNECT DUT_I2C0_Calmux_relay,,,,calmux_relay_init,,,,,,20000,
Fixture Init,Relay CONNECT DUT_I2C0_Calmux_init,,,,calmux_init,,,,,,20000,


Fixture Init,Relay CONNECT DUT_I2C0_Calmux_switch_hight,,,,calmux_switch,VOLTAGE_MEASURE_PATH,MEASURE_PP_HIGHT_VOLTAGE,,,,20000,
Fixture Init,SET_VOLTAGE_PATH_hight,,,,calmux_switch,SET_VOLTAGE_PATH,PP_HIGHT_VOLTAGE_NO_UP_TO_PPVBUS,,,,20000,



Fixture Init,Relay CONNECT DUT_I2C0_Calmux_switch_low,,,,calmux_switch,VOLTAGE_MEASURE_PATH,MEASURE_PP_LOW_VOLGAGE,,,,20000,
Fixture Init,SET_VOLTAGE_PATH_low,,,,calmux_switch,SET_VOLTAGE_PATH,PP_LOW_VOLGAGE_UP_33K_TO_PPOUT_1V7_5V5,,,,20000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP3V8_VCC_MAIN,,,,relay_switch,POWER_RAIL_PATH,PP3V8_VCC_MAIN,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP3V8_VCC_MAIN,,0.99,1.02,get_cal_voltage,PP3V8_VCC_MAIN,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP3V8_VCC_MAIN,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP5V0_EXT_BUCK_S2,,,,relay_switch,POWER_RAIL_PATH,PP5V0_EXT_BUCK_S2,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP5V0_EXT_BUCK_S2,,0.99,1.02,get_cal_voltage,PP5V0_EXT_BUCK_S2,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP5V0_EXT_BUCK_S2,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP5V0_SW_ENCODERL,,,,relay_switch,POWER_RAIL_PATH,PP5V0_SW_ENCODERL,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP5V0_SW_ENCODERL,,0.99,1.02,get_cal_voltage,PP5V0_SW_ENCODERL,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP5V0_SW_ENCODERL,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP5V0_SW_ENCODERR,,,,relay_switch,POWER_RAIL_PATH,PP5V0_SW_ENCODERR,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP5V0_SW_ENCODERR,,0.99,1.02,get_cal_voltage,PP5V0_SW_ENCODERR,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP5V0_SW_ENCODERR,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP5V0_IPD_DRV_SW,,,,relay_switch,POWER_RAIL_PATH,PP5V0_IPD_DRV_SW,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP5V0_IPD_DRV_SW,,0.99,1.02,get_cal_voltage,PP5V0_IPD_DRV_SW,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP5V0_IPD_DRV_SW,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP3V3_IPD_DRV,,,,relay_switch,POWER_RAIL_PATH,PP3V3_IPD_DRV,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP3V3_IPD_DRV,,0.99,1.02,get_cal_voltage,PP3V3_IPD_DRV,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP3V3_IPD_DRV,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP1V2_SYS_ALWAYS_LDO,,,,relay_switch,POWER_RAIL_PATH,PP1V2_SYS_ALWAYS_LDO,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP1V2_SYS_ALWAYS_LDO,,0.99,1.02,get_cal_voltage,PP1V2_SYS_ALWAYS_LDO,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP1V2_SYS_ALWAYS_LDO,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PP4V5_SPFCAP_BUCK_ALWAYS,,,,relay_switch,POWER_RAIL_PATH,PP4V5_SPFCAP_BUCK_ALWAYS,,,,20000,
CAL_POWER_RAIL,debug_read_voltage PP4V5_SPFCAP_BUCK_ALWAYS,,0.99,1.02,get_cal_voltage,PP4V5_SPFCAP_BUCK_ALWAYS,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset PP4V5_SPFCAP_BUCK_ALWAYS,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to IO_MCONN_DETECT_L_3V8,,,,relay_switch,POWER_RAIL_PATH,IO_MCONN_DETECT_L_3V8,,,,20000,
CAL_POWER_RAIL,debug_read_voltage IO_MCONN_DETECT_L_3V8,,0.99,1.02,get_cal_voltage,IO_MCONN_DETECT_L_3V8,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset IO_MCONN_DETECT_L_3V8,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to IO_SYS_ALIVE,,,,relay_switch,POWER_RAIL_PATH,IO_SYS_ALIVE,,,,20000,
CAL_POWER_RAIL,debug_read_voltage IO_SYS_ALIVE,,0.99,1.02,get_cal_voltage,IO_SYS_ALIVE,0@5000@power_rail,,,,50000,
CAL_POWER_RAIL,read_offset IO_SYS_ALIVE,,-10,10,read_cal_offset,,,,,,50000,

CAL_POWER_RAIL,Relay POWER_RAIL_PATH to PPVDD_CPU,,,,relay_switch,POWER_RAIL_PATH,PPVDD_CPU,,,,20000,
